target,feature,rho,abs_rho,n,group,short
k,ts_s2_EVI_mean,0.040705395319251665,0.040705395319251665,1085,Temporal,ts_s2_EVI_mean
k,ts_s2_EVI_slope,0.29980156274888986,0.29980156274888986,1085,Temporal,ts_s2_EVI_slope
k,ts_s2_EVI_std,0.03620204441045134,0.03620204441045134,1085,Temporal,ts_s2_EVI_std
k,ts_s2_GNDVI_cv,0.1289985629134106,0.1289985629134106,1085,Temporal,ts_s2_GNDVI_cv
k,ts_s2_GNDVI_mean,-0.25056961598650906,0.25056961598650906,1085,Temporal,ts_s2_GNDVI_mean
k,ts_s2_GNDVI_slope,0.25703776702360487,0.25703776702360487,1085,Temporal,ts_s2_GNDVI_slope
k,ts_s2_GNDVI_std,0.04551941919045963,0.04551941919045963,1085,Temporal,ts_s2_GNDVI_std
k,ts_s2_IRECI_cv,-0.07716411641674838,0.07716411641674838,1085,Temporal,ts_s2_IRECI_cv
k,ts_s2_IRECI_mean,-0.009310015388582258,0.009310015388582258,1085,Temporal,ts_s2_IRECI_mean
k,ts_s2_IRECI_slope,0.2729762685851163,0.2729762685851163,1085,Temporal,ts_s2_IRECI_slope
k,ts_s2_IRECI_std,-0.04715870072793617,0.04715870072793617,1085,Temporal,ts_s2_IRECI_std
k,ts_s2_MSI_cv,-0.26392922518170314,0.26392922518170314,1085,Temporal,ts_s2_MSI_cv
k,ts_s2_MSI_mean,-0.2530685204827853,0.2530685204827853,1085,Temporal,ts_s2_MSI_mean
k,ts_s2_MSI_slope,0.13042687209801868,0.13042687209801868,1085,Temporal,ts_s2_MSI_slope
k,ts_s2_MSI_std,-0.32219868783660527,0.32219868783660527,1085,Temporal,ts_s2_MSI_std
k,ts_s2_NBR_cv,0.08751641471838473,0.08751641471838473,1085,Temporal,ts_s2_NBR_cv
k,ts_s2_NBR_mean,0.22937800760360832,0.22937800760360832,1085,Temporal,ts_s2_NBR_mean
k,ts_s2_NBR_slope,-0.04409682745198338,0.04409682745198338,1085,Temporal,ts_s2_NBR_slope
k,ts_s2_NBR_std,-0.2479757464482376,0.2479757464482376,1085,Temporal,ts_s2_NBR_std
k,ts_s2_NDMI_cv,-0.08023734002125862,0.08023734002125862,1085,Temporal,ts_s2_NDMI_cv
k,ts_s2_NDMI_mean,0.24667251168299437,0.24667251168299437,1085,Temporal,ts_s2_NDMI_mean
k,ts_s2_NDMI_slope,-0.11997666311862314,0.11997666311862314,1085,Temporal,ts_s2_NDMI_slope
k,ts_s2_NDMI_std,-0.2445975344415658,0.2445975344415658,1085,Temporal,ts_s2_NDMI_std
k,ts_s2_NDRE_cv,0.08635564161008552,0.08635564161008552,1085,Temporal,ts_s2_NDRE_cv
k,ts_s2_NDRE_mean,-0.11984556118620394,0.11984556118620394,1085,Temporal,ts_s2_NDRE_mean
